epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,1592.33,1.1813,0.77988,1.09729,0.87885,0.61004,0.6948,0.47721,1.14824,0.70401,1.08001,0.000509438,0.000509438,0.000509438
67,1616.55,1.16721,0.77074,1.09114,0.83825,0.62699,0.69802,0.4802,1.1042,0.68908,1.0698,0.000495291,0.000495291,0.000495291
68,1640.87,1.16469,0.77337,1.09492,0.88159,0.63259,0.70316,0.47773,1.11616,0.6916,1.07767,0.000481144,0.000481144,0.000481144
69,1665,1.16456,0.7705,1.08793,0.93627,0.60191,0.70566,0.47775,1.10755,0.68689,1.07337,0.000466997,0.000466997,0.000466997
70,1689.14,1.16808,0.77523,1.08849,0.89959,0.60517,0.70154,0.47126,1.17985,0.7026,1.09048,0.00045285,0.00045285,0.00045285
71,1713.2,1.15076,0.76011,1.08381,0.8953,0.5989,0.69627,0.48174,1.13192,0.68345,1.07507,0.000438703,0.000438703,0.000438703
72,1737.41,1.16245,0.77089,1.08945,0.92052,0.59634,0.69278,0.47388,1.1471,0.68902,1.07765,0.000424556,0.000424556,0.000424556
73,1761.59,1.14575,0.75956,1.0834,0.88092,0.60989,0.69662,0.47408,1.14945,0.71159,1.08427,0.000410409,0.000410409,0.000410409
74,1785.74,1.1619,0.76456,1.08931,0.85332,0.61522,0.69399,0.48039,1.12149,0.68096,1.07796,0.000396262,0.000396262,0.000396262
75,1809.94,1.15084,0.75592,1.08395,0.91096,0.59573,0.69837,0.48079,1.14411,0.68472,1.08237,0.000382115,0.000382115,0.000382115
76,1834.04,1.14694,0.75323,1.0837,0.87984,0.61504,0.70727,0.47613,1.13518,0.68631,1.08017,0.000367967,0.000367967,0.000367967
77,1858.23,1.14119,0.74927,1.08049,0.91286,0.59842,0.71084,0.48221,1.13022,0.67486,1.07695,0.00035382,0.00035382,0.00035382
78,1882.37,1.13607,0.74592,1.0815,0.91535,0.60197,0.69688,0.47989,1.13385,0.68231,1.08196,0.000339673,0.000339673,0.000339673
79,1906.6,1.13335,0.74076,1.07386,0.93121,0.59339,0.70549,0.47519,1.15642,0.68238,1.09035,0.000325526,0.000325526,0.000325526
80,1930.92,1.12732,0.74006,1.07293,0.9008,0.62306,0.71255,0.48695,1.11821,0.66762,1.07365,0.000311379,0.000311379,0.000311379
81,1955.12,1.12441,0.73314,1.0708,0.90659,0.60888,0.70747,0.47897,1.12902,0.67115,1.0744,0.000297232,0.000297232,0.000297232
82,1979.26,1.13031,0.74069,1.0745,0.904,0.62987,0.70639,0.48649,1.13757,0.67453,1.07697,0.000283085,0.000283085,0.000283085
83,2003.54,1.12432,0.73301,1.0737,0.88001,0.62272,0.707,0.48538,1.13076,0.67616,1.07704,0.000268938,0.000268938,0.000268938
84,2027.7,1.12451,0.73393,1.07455,0.90748,0.61103,0.71015,0.49034,1.13206,0.67314,1.07746,0.000254791,0.000254791,0.000254791
85,2052.3,1.10391,0.71845,1.06885,0.89603,0.61878,0.71598,0.48374,1.14394,0.67612,1.07518,0.000240644,0.000240644,0.000240644
86,2076.41,1.1033,0.7199,1.06596,0.90989,0.59574,0.70771,0.47865,1.12778,0.67402,1.07149,0.000226497,0.000226497,0.000226497
